rater,page_id,bank,bank_category,product_family,language,url,screenshot_path,capture_quality,formality_score,clarity_score,rate_prominence,value_prop_clarity,accent_locations,text_image_layout,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,persuasion_levers,notes
stephane,argenta_current_account_pack_fr_01,argenta,traditional,current_account_pack,fr,https://www.argenta.be/fr/formules/green.html#compte,data/raw/argenta/current_account_pack_fr_01.png,ok,4.0,3.0,above_fold,3.0,icons|buttons|text,beside,split_columns,False,False,False,False,True,authority,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). Cookie modal covers the first screen. Rate 3,50 EUR/mois visible in the comparison table. formality inherited from model_scores.csv"
stephane,belfius_current_account_pack_fr_01,belfius,traditional,current_account_pack,fr,https://www.belfius.be/site/retail/fr/produits/paiement/compte-bancaire,data/raw/belfius/current_account_pack_fr_01.png,ok,3.0,4.0,above_fold,4.0,buttons|text|background,beside,split_columns,False,True,True,True,True,liking,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). Cookie banner spans mid-page. Prices are monthly fees (Gratuit / 5,5 / 5,9 EUR). formality is my own (no model score)"
stephane,belfius_pension_fr_01,belfius,traditional,pension,fr,https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx,data/raw/belfius/pension_fr_01.png,ok,,,,,,,,,,,,,,
stephane,belfius_savings_account_fr_01,belfius,traditional,savings_account,fr,https://www.belfius.be/site/retail/fr/produits/epargner,data/raw/belfius/savings_account_fr_01.png,ok,,,,,,,,,,,,,,
stephane,bnp_paribas_fortis_current_account_pack_fr_01,bnp_paribas_fortis,traditional,current_account_pack,fr,https://www.bnpparibasfortis.be/fr/public/particuliers/banque-au-quotidien/comptes-bancaires/compte-a-vue-comparer,data/raw/bnp_paribas_fortis/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,,
stephane,bnp_paribas_fortis_mortgage_fr_01,bnp_paribas_fortis,traditional,mortgage,fr,https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire,data/raw/bnp_paribas_fortis/mortgage_fr_01.png,ok,,,,,,,,,,,,,,
stephane,bunq_current_account_pack_fr_01,bunq,challenger,current_account_pack,fr,https://www.bunq.com/fr-be/personal/plans/bunq-free,data/raw/bunq/current_account_pack_fr_01.png,ok,2.0,5.0,below_fold,4.0,imagery|background,overlaid,hero_stacked,True,True,True,True,True,liking,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). Cookie panel covers right of hero. rate_shown=True in the dataset but no rate in the first screen"
stephane,crelan_current_account_pack_fr_01,crelan,traditional,current_account_pack,fr,https://www.crelan.be/fr/particuliers/payer/comptes-vue/produit/economy-plus-pack,data/raw/crelan/current_account_pack_fr_01.png,ok,3.0,4.0,above_fold,3.0,icons|buttons,beside,split_columns,False,False,True,True,True,liking,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). Cookie modal centre. layout_archetype disagrees with the dataset value (hero_stacked) - first screen is text-left/photo-right"
stephane,ing_current_account_pack_en_01,ing,traditional,current_account_pack,en,https://www.ing.be/en/individuals/campaign/current-account-expats?mcing=sepa_goog_mass_pay_d_aopacksgoogleexpatbebrandedkwenresponsiveads&&&&&gclsrc=aw.ds&gad_source=1&gad_campaignid=23021150042&gbraid=0AAAAAC-DtoOHAjLzrgVgKvOI4hh8PWxP6&gclid=CjwKCAjwwrPVBhA1EiwAv_YO-bH8X1iFffC7J4FPqeG82IWfw3Rza-1BdjRvbw9f_apudq1ZhHGW6xoC-ewQAvD_BwE,data/raw/ing/current_account_pack_en_01.png,ok,,,,,,,,,,,,,,
stephane,ing_current_account_pack_fr_02,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs,data/raw/ing/current_account_pack_fr_02.png,ok,3.0,4.0,above_fold,4.0,background|buttons|imagery,overlaid,hero_stacked,False,True,True,True,True,reciprocity|scarcity,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). ING More. Welcome-gift deadline 11/10/2026. accent_locations differs from dataset (buttons|icons)"
stephane,ing_current_account_pack_fr_03,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go,data/raw/ing/current_account_pack_fr_03.png,ok,4.0,4.0,above_fold,4.0,background|buttons|text,overlaid,hero_stacked,False,True,True,True,True,reciprocity,"Adopted 21/09 from data/rubric/model_vision_proposed.csv (vision-capable model proposal, adopted by Stephane - not an independently judged score). ING Go. Cookie modal covers the hero copy. price 2,20 EUR/mois"
stephane,ing_current_account_pack_fr_04,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/professionnel/payer/ouvrir-un-compte-professionnel?mcing=sepa_goog_bb_pay_t_aocurrentaccountsgooglebe2024busbusinessdailybankingfrnatrfseesearchgomubnanambid196853fr&&&&&gclsrc=aw.ds&gad_source=1&gad_campaignid=21719400620&gbraid=0AAAAADHgurFUk5KmBVOvR9c4FdwCy10EV&gclid=Cj0KCQjw5bjVBhCiARIsAJzMVnTKDYLcSA3QsLlJCcXZ_n_3l2ZPuZS9pATIRxsZ3D8fo377mWhxC9waArGQEALw_wcB,data/raw/ing/current_account_pack_fr_04.png,ok,,,,,,,,,,,,,,
stephane,ing_mortgage_fr_01,ing,traditional,mortgage,fr,https://www.ing.be/fr/particuliers/emprunter,data/raw/ing/mortgage_fr_01.png,ok,,,,,,,,,,,,,,
