rater,page_id,bank,bank_category,product_family,language,url,screenshot_path,capture_quality,formality_score,clarity_score,rate_prominence,value_prop_clarity,accent_locations,text_image_layout,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,persuasion_levers
model/deepseek-flash,kbc_current_account_pack_nl_02,kbc,traditional,current_account_pack,nl,https://www.kbc.be/particulieren/nl/product/betalen/zichtrekeningen/basisrekening-openen.html,data/raw/kbc/current_account_pack_nl_02.png,ok,3,,,,,,,,,,,,
model/deepseek-flash,ing_current_account_pack_fr_03,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go,data/raw/ing/current_account_pack_fr_03.png,ok,3,,,,,,,,,,,,
model/deepseek-flash,kbc_current_account_pack_fr_01,kbc,traditional,current_account_pack,fr,https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html,data/raw/kbc/current_account_pack_fr_01.png,ok,4,,,,,,,,,,,,
model/deepseek-flash,n26_current_account_pack_fr_01,n26,challenger,current_account_pack,fr,https://n26.com/fr-fr/compte-bancaire-gratuit,data/raw/n26/current_account_pack_fr_01.png,ok,4,,,,,,,,,,,,
model/deepseek-flash,belfius_other_fr_01,belfius,traditional,pension,fr,https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx,data/raw/belfius/other_fr_01.png,ok,3,,,,,,,,,,,,
model/deepseek-flash,ing_savings_account_fr_01,ing,traditional,savings_account,fr,https://www.ing.be/fr/particuliers/epargner,data/raw/ing/savings_account_fr_01.png,ok,4,,,,,,,,,,,,
model/deepseek-flash,bnp_paribas_fortis_mortgage_fr_01,bnp_paribas_fortis,traditional,mortgage,fr,https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire,data/raw/bnp_paribas_fortis/mortgage_fr_01.png,ok,4,,,,,,,,,,,,
model/deepseek-flash,bnp_paribas_fortis_current_account_pack_fr_02,bnp_paribas_fortis,traditional,current_account_pack,fr,https://www.bnpparibasfortis.be/fr/public/particuliers/banque-au-quotidien/comptes-bancaires/compte-a-vue-comparer,data/raw/bnp_paribas_fortis/current_account_pack_fr_02.png,ok,4,,,,,,,,,,,,
model/deepseek-flash,revolut_current_account_pack_fr_01,revolut,challenger,current_account_pack,fr,https://www.revolut.com/fr-BE/bank-account/,data/raw/revolut/current_account_pack_fr_01.png,ok,3,,,,,,,,,,,,
model/deepseek-flash,ing_current_account_pack_fr_02,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more,data/raw/ing/current_account_pack_fr_02.png,ok,3,,,,,,,,,,,,
model/deepseek-flash,argenta_current_account_pack_fr_01,argenta,traditional,current_account_pack,fr,https://www.argenta.be/fr/formules.html,data/raw/argenta/current_account_pack_fr_01.png,ok,3,,,,,,,,,,,,
model/deepseek-flash,crelan_current_account_pack_fr_01,crelan,traditional,current_account_pack,fr,https://www.crelan.be/fr/particuliers/payer/comptes-vue/produit/economy-plus-pack,data/raw/crelan/current_account_pack_fr_01.png,ok,3,,,,,,,,,,,,
model/deepseek-flash,bunq_current_account_pack_fr_01,bunq,challenger,current_account_pack,fr,https://www.bunq.com/fr-be/personal/plans/bunq-free,data/raw/bunq/current_account_pack_fr_01.png,ok,2,,,,,,,,,,,,
model/deepseek-flash,belfius_current_account_pack_fr_02,belfius,traditional,current_account_pack,fr,https://www.belfius.be/retail/fr/produits/paiement/compte-bancaire/,data/raw/belfius/current_account_pack_fr_02.png,ok,4,,,,,,,,,,,,
